party_id,position,eu_salience,lrecon,lrecon_salience,galtan,galtan_salience,lrgen,immigrate_policy,immigra_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,redistribution,redist_salience,environment,enviro_salience,spendvtax,deregulation,econ_interven,civlib_laworder,sociallifestyle,religious_principles,ethnic_minorities,nationalism,urban_rural,protectionism,regions,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership
710,5.0,4.0,2.0,7.0,3.0,5.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,7.0,3.0,6.0,1.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,6.0,3.0,0.0,6.0,7.0,4.0,3.0
711,4.0,3.5,4.0,6.5,3.5,2.0,4.0,5.0,4.0,4.5,4.5,3.5,4.0,4.0,5.5,5.0,4.0,3.0,3.5,3.5,5.0,3.0,3.0,4.0,4.0,4.0,6.0,4.0,1.0,6.0,7.0,6.0,1.0
712,3.0,3.5,7.0,3.0,8.0,8.0,7.0,9.0,6.0,1.0,9.0,6.0,1.0,8.0,4.0,7.0,2.0,8.0,7.0,8.0,7.0,7.0,6.0,7.5,6.0,4.5,7.0,6.0,1.0,3.0,8.0,6.0,4.5
811,2.0,9.0,7.5,7.0,10.0,8.0,8.5,10.0,10.0,0.0,10.0,10.0,0.0,7.0,6.0,8.0,2.0,9.0,7.0,6.0,10.0,8.5,9.0,10.0,10.0,7.5,9.0,2.0,10.0,7.0,9.5,3.0,10.0
813,7.0,8.0,5.0,7.0,0.0,10.0,4.0,1.5,6.5,1.0,0.5,7.5,0.5,4.5,5.5,4.5,5.5,5.5,7.0,6.5,0.0,0.0,0.0,0.0,0.0,2.5,1.0,4.0,0.0,5.0,3.5,5.5,4.5
815,5.0,6.0,8.0,8.0,6.0,5.0,7.0,7.0,6.0,4.0,7.0,6.0,3.0,7.0,6.0,8.0,2.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.5,5.0,6.0,5.0,4.0,2.0,10.0
827,6.0,7.0,5.0,5.0,8.0,8.0,5.0,7.0,5.0,2.0,8.0,8.0,1.0,5.0,5.0,5.0,3.0,5.0,7.0,5.0,7.0,8.0,7.0,6.0,4.0,7.0,3.0,0.0,4.5,2.0,5.0,2.0,7.0
837,7.0,8.0,3.5,8.0,2.0,7.0,3.0,3.0,7.0,3.0,3.0,8.0,3.0,2.5,7.0,4.0,7.0,4.0,4.5,4.0,3.0,2.0,3.0,1.0,1.0,2.5,4.0,4.5,0.5,2.0,1.5,5.5,5.0
838,5.0,6.0,1.0,8.0,1.0,8.0,1.0,0.0,8.0,0.0,0.0,9.0,0.0,1.0,9.0,2.0,9.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,2.0,7.0,5.0,1.0,2.5,4.0,7.0,4.5
843,2.0,8.0,7.0,8.0,10.0,8.0,9.0,10.0,10.0,0.0,10.0,10.0,0.0,6.0,5.0,7.0,2.0,7.0,5.0,5.0,10.0,10.0,9.0,10.0,10.0,5.0,9.5,8.0,10.0,6.0,8.0,6.0,9.0
845,3.0,7.0,3.0,7.0,4.0,6.0,5.0,7.0,6.0,6.0,5.0,5.0,6.0,1.0,9.0,2.0,8.0,3.0,3.0,3.0,5.0,3.5,3.0,4.0,4.0,4.0,6.0,5.0,4.0,10.0,10.0,10.0,3.0
1001,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,5.5,6.0,7.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,7.0,6.0,7.0,6.0,7.0,5.0,7.0,8.0,4.0,2.0,5.0,2.0,1.0,1.0,6.0
1002,6.0,6.0,3.0,7.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,6.0,3.0,3.0,8.0,4.0,6.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,1.0,5.0
1003,5.0,5.0,8.0,8.0,5.0,6.0,8.0,8.0,7.0,3.0,8.0,7.0,3.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,3.0,2.0,6.0,7.0,4.5,2.0,5.0,5.0,2.0,2.0,0.5,6.0
1004,7.0,8.0,6.0,6.0,1.0,7.0,5.0,3.0,6.5,2.0,2.0,6.0,2.0,6.0,6.0,3.0,7.0,6.0,7.0,6.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,4.5,3.0,5.0,2.0,1.0,4.0
1005,7.0,7.0,2.0,6.0,1.0,7.0,2.0,2.0,6.5,2.0,1.0,7.0,1.0,2.0,7.0,1.0,9.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,5.5,3.0,5.0,3.0,2.0,4.0
1006,3.0,5.0,8.0,4.0,10.0,9.0,8.0,8.0,6.0,2.0,9.0,5.0,1.0,7.0,5.0,7.0,3.0,8.0,6.0,6.0,8.0,10.0,10.0,8.0,9.0,8.0,7.0,3.0,5.0,1.0,0.0,2.0,7.0
1009,3.5,5.0,4.0,4.0,8.0,7.5,5.0,3.5,6.0,3.0,6.0,7.0,3.5,4.0,6.0,3.5,6.0,4.0,4.0,4.0,5.0,6.5,8.5,4.5,6.0,7.0,5.0,3.5,5.0,1.5,1.0,1.5,5.0
1014,3.0,6.0,1.0,9.0,5.0,4.0,1.0,6.0,5.5,4.0,6.0,6.0,4.0,1.0,9.0,5.0,4.0,0.0,1.0,1.0,5.0,3.0,2.0,5.0,6.0,4.0,8.0,7.5,3.5,7.0,7.0,2.0,7.0
1017,1.0,8.0,5.0,4.0,7.0,7.0,9.0,10.0,10.0,0.0,10.0,10.0,0.0,5.0,5.0,10.0,3.0,6.0,5.0,6.0,9.0,4.0,4.5,10.0,10.0,5.5,8.0,7.5,10.0,10.0,10.0,3.5,10.0
1018,3.0,5.0,2.0,3.0,2.5,3.0,2.5,3.0,4.5,2.5,3.5,3.5,3.5,3.0,4.5,0.5,9.5,3.0,1.5,2.5,3.0,2.5,2.5,4.0,4.0,2.5,7.0,7.0,5.0,6.5,7.0,4.5,6.5
1020,4.0,4.0,4.0,8.0,5.5,3.5,5.0,5.5,4.5,3.0,6.5,4.5,3.0,5.0,8.0,5.0,3.5,3.5,5.0,4.5,6.0,5.0,4.0,5.5,6.5,4.0,5.5,7.0,5.5,5.5,5.0,2.5,7.5
1050,5.0,3.0,3.0,5.0,8.0,8.0,4.5,2.0,9.0,1.5,0.0,9.5,1.0,3.0,6.5,4.0,3.5,3.0,3.5,3.0,3.0,6.0,7.5,2.0,4.0,3.5,5.5,7.0,3.5,6.0,6.5,2.5,8.0
1051,1.0,8.0,9.0,5.0,8.0,9.0,10.0,10.0,10.0,1.0,10.0,10.0,0.0,8.0,5.0,10.0,7.0,10.0,10.0,9.0,9.0,7.0,3.5,10.0,10.0,5.5,7.0,6.0,10.0,9.0,10.0,3.5,9.0
1101,2.0,10.0,7.0,6.0,7.0,6.0,7.0,7.5,8.5,3.0,6.5,6.5,3.0,6.0,6.0,6.0,4.0,6.0,7.5,6.0,7.0,4.0,6.0,6.0,7.5,6.5,3.0,6.5,6.0,5.0,7.0,0.5,8.0
