,climate_change,pro_cars,carnivore_tax,preserve_forests,austerity,basic_income,pro_euro,public_sohe_services,privatize_eldercare,euthanasy,gender_change_under18,wines_to_supermarkets,forbid_energydrinks_u15,decrease_snus_import,equal_parental_leave,extend_education,fshift_summer_vacay,uni_qualvquant,immigrants_dangerous,immigrants_needed,nato_membership,hatespeech_criminalize,traditional_values,hard_police,econ_inequality,individual_responsibility,voter_loyalty,principles
1015,5.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0,,,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0
1027,4.0,2.0,2.0,4.0,2.0,2.0,5.0,2.0,4.0,2.0,1.0,4.0,2.0,2.0,5.0,4.0,2.0,4.0,4.0,1.0,4.0,5.0,2.0,2.0,2.0,2.0,5.0,4.0
1049,4.0,4.0,2.0,2.0,4.0,4.0,5.0,1.0,4.0,,2.0,5.0,2.0,2.0,4.0,5.0,2.0,,2.0,1.0,4.0,2.0,2.0,4.0,1.0,4.0,5.0,5.0
1059,4.0,2.0,2.0,4.0,4.0,5.0,4.0,2.0,1.0,1.0,2.0,5.0,,2.0,5.0,4.0,2.0,5.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0
1069,4.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,,1.0,2.0,4.0,,2.0,5.0,4.0,1.0,4.0,4.0,1.0,5.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0
1073,2.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,5.0,2.0,1.0,4.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,5.0,5.0
1076,5.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,5.0,5.0,5.0
1081,2.0,4.0,4.0,1.0,5.0,4.0,5.0,1.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,4.0,1.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0
1100,4.0,4.0,2.0,5.0,1.0,1.0,2.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,5.0,2.0,5.0,5.0
1119,5.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,5.0,1.0,5.0,5.0,2.0,4.0,1.0,5.0,1.0,5.0,4.0,5.0,4.0,5.0,4.0,,4.0,4.0,4.0,5.0
