,id,party,party_name,party_id,position,eu_salience,eu_dissent,eu_blur,lrecon,lrecon_blur,lrecon_dissent,lrecon_salience,galtan,galtan_blur,galtan_dissent,galtan_salience,lrgen,immigrate_policy,immigra_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,redistribution,redist_salience,environment,enviro_salience,spendvtax,deregulation,econ_interven,civlib_laworder,sociallifestyle,religious_principles,ethnic_minorities,nationalism,urban_rural,protectionism,regions,russian_interference,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,eu_cohesion,eu_foreign,eu_intmark,eu_budgets,eu_asylum,party_a_econ,party_b_econ,party_c_econ,gender,dob,lrecon_self,galtan_self,cname,eu_position_sd,lrecon_sd,galtan_sd,eu_econ_require,eu_political_require,eu_googov_require
336,10,1,HDZ,3101,7.0,8.0,5.0,,7,7,,8.0,8,,10.0,8.0,7.0,9.0,6.0,3.0,9.0,4.0,7.0,4.0,5.0,6.0,2.0,8.0,4.0,4.0,9.0,8.0,9.0,6.0,7.0,7.0,5.0,6.0,1.0,3,3.0,0.0,3.0,10.0,7.0,5.0,6.0,5.0,3.0,4.0,10,6.0,2.0,1980.0,4.0,1.0,,,,,,,
337,10,2,SDP,3102,7.0,7.0,2.0,,4,5,,9.0,4,,1.0,7.0,4.0,7.0,4.0,2.0,6.0,4.0,6.0,3.0,6.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,6.0,4.0,1.0,1,4.0,1.0,7.0,9.0,7.0,5.0,5.0,5.0,5.0,4.0,10,6.0,2.0,1980.0,4.0,1.0,,,,,,,
338,10,3,Most,3115,3.0,6.0,2.0,,8,6,,6.0,10,,0.0,10.0,9.0,10.0,8.0,1.0,10.0,6.0,1.0,3.0,3.0,6.0,2.0,7.0,2.0,6.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,3.0,1.0,6,10.0,10.0,8.0,8.0,7.0,2.0,2.0,2.0,2.0,4.0,10,6.0,2.0,1980.0,4.0,1.0,,,,,,,
339,10,4,HNS,3105,7.0,9.0,0.0,,5,2,,9.0,0,,0.0,9.0,5.0,6.0,4.0,0.0,4.0,3.0,1.0,5.0,4.0,4.0,2.0,7.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1,0.0,0.0,5.0,9.0,7.0,6.0,7.0,6.0,6.0,4.0,10,6.0,2.0,1980.0,4.0,1.0,,,,,,,
340,10,5,HSS,3103,7.0,7.0,2.0,,4,2,,5.0,4,,9.0,7.0,5.0,6.0,3.0,5.0,7.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,2.0,6.0,2.0,4.0,8.0,7.0,3.0,1.0,2,3.0,4.0,4.0,8.0,7.0,4.0,3.0,5.0,,4.0,10,6.0,2.0,1980.0,4.0,1.0,,,,,,,
341,10,6,HSLS,3104,7.0,5.0,,,6,4,,5.0,5,,3.0,5.0,6.0,6.0,2.0,1.0,5.0,2.0,,6.0,5.0,7.0,1.0,7.0,7.0,8.0,6.0,3.0,6.0,4.0,5.0,3.0,2.0,3.0,1.0,1,2.0,2.0,4.0,8.0,7.0,4.0,5.0,5.0,,4.0,10,6.0,2.0,1980.0,4.0,1.0,,,,,,,
342,10,7,HSU,3108,6.0,4.0,,,3,4,,7.0,4,,,3.0,4.0,,2.0,,,,,2.0,5.0,,1.0,2.0,2.0,2.0,3.0,4.0,,2.0,4.0,6.0,6.0,4.0,1.0,1,5.0,2.0,6.0,7.0,7.0,4.0,3.0,,,4.0,10,6.0,2.0,1980.0,4.0,1.0,,,,,,,
343,10,8,SDSS,3110,7.0,5.0,1.0,,3,,,2.0,3,,1.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,,1.0,3.0,,3.0,2.0,3.0,2.0,0.0,2.0,5.0,,2.0,1.0,1,,2.0,3.0,6.0,7.0,,4.0,,,4.0,10,6.0,2.0,1980.0,4.0,1.0,,,,,,,
344,10,9,HDSSB,3107,,,,,9,,,,9,,,8.0,10.0,10.0,2.0,1.0,10.0,3.0,,,2.0,,1.0,,,,9.0,9.0,7.0,9.0,8.0,6.0,,1.0,1.0,4,6.0,3.0,3.0,8.0,7.0,2.0,3.0,,,4.0,10,6.0,2.0,1980.0,4.0,1.0,,,,,,,
345,10,10,ZZ,3116,2.0,7.0,1.0,,8,8,,8.0,4,,4.0,8.0,,7.0,6.0,5.0,7.0,1.0,3.0,2.0,3.0,6.0,3.0,7.0,6.0,6.0,5.0,6.0,,7.0,4.0,4.0,,,3.0,5,10.0,10.0,7.0,6.0,7.0,1.0,2.0,2.0,2.0,4.0,10,6.0,2.0,1980.0,4.0,1.0,,,,,,,
